Topics,Alpha,Beta,Coherence_cv,Coherence_umass
2,0.01,0.01,0.3507535737939179,-2.892059842397282
2,0.01,0.11,0.33634935282170775,-2.808885862719742
2,0.01,0.21000000000000002,0.3363493554294109,-2.842233886918956
2,0.01,0.31000000000000005,0.33331661447882655,-2.7899124560557107
2,0.01,0.41000000000000003,0.33562793452292683,-2.883534396398022
2,0.01,0.51,0.32158149911556394,-2.9457671721630025
2,0.01,0.6100000000000001,0.30603167442604895,-2.8246408633775313
2,0.01,0.7100000000000001,0.307535368099343,-2.9250108873019682
2,0.01,0.81,0.30849544014781716,-2.734367551297761
2,0.01,0.91,0.316220227163285,-2.9161690998653267
2,0.11,0.01,0.37700960226356983,-2.9177469204671205
2,0.11,0.11,0.3363493587821722,-2.826569555699577
2,0.11,0.21000000000000002,0.3363493587821722,-2.826569555699577
2,0.11,0.31000000000000005,0.3363493587821722,-2.826569555699577
2,0.11,0.41000000000000003,0.3363493587821722,-2.821865292161214
2,0.11,0.51,0.3363493587821722,-2.821865292161214
2,0.11,0.6100000000000001,0.3363493554294109,-2.842233886918956
2,0.11,0.7100000000000001,0.30760723996208983,-2.7946075469767537
2,0.11,0.81,0.33634935580194,-2.829238938224789
2,0.11,0.91,0.3363493554294109,-2.842233886918956
2,0.21000000000000002,0.01,0.3507535737939179,-2.892059842397282
2,0.21000000000000002,0.11,0.3353605588432401,-2.9545610093609405
2,0.21000000000000002,0.21000000000000002,0.3363493587821722,-2.826569555699577
2,0.21000000000000002,0.31000000000000005,0.3363493587821722,-2.817833156950508
2,0.21000000000000002,0.41000000000000003,0.33634935580194,-2.833943201763152
2,0.21000000000000002,0.51,0.33634935580194,-2.833943201763152
2,0.21000000000000002,0.6100000000000001,0.33634935580194,-2.803280079341583
2,0.21000000000000002,0.7100000000000001,0.34742835722863674,-2.9156677419119115
2,0.21000000000000002,0.81,0.35386296547949314,-2.8745532537156553
2,0.21000000000000002,0.91,0.6476316928863526,-5.48817328515482
2,0.31000000000000005,0.01,0.3507535724900663,-2.854860071507555
2,0.31000000000000005,0.11,0.3507535747252405,-2.890959588616184
2,0.31000000000000005,0.21000000000000002,0.34742835722863674,-2.890610402868502
2,0.31000000000000005,0.31000000000000005,0.33634935282170775,-2.808885862719742
2,0.31000000000000005,0.41000000000000003,0.34742835722863674,-2.9156677419119115
2,0.31000000000000005,0.51,0.3446178663522005,-2.9127450952566907
2,0.31000000000000005,0.6100000000000001,0.34742835722863674,-2.9109634783735485
2,0.31000000000000005,0.7100000000000001,0.33634935244917874,-2.8171765478755457
2,0.31000000000000005,0.81,0.33634935580194,-2.829238938224789
2,0.31000000000000005,0.91,0.3210291787981987,-2.7325239514102746
2,0.41000000000000003,0.01,0.33785664255265146,-2.9310113635367463
2,0.41000000000000003,0.11,0.34742835722863674,-2.890610402868502
2,0.41000000000000003,0.21000000000000002,0.35355169437825684,-2.8740683874557282
2,0.41000000000000003,0.31000000000000005,0.36234741825610395,-2.856842124542382
2,0.41000000000000003,0.41000000000000003,0.34742835722863674,-2.9109634783735485
2,0.41000000000000003,0.51,0.33634935282170775,-2.808885862719742
2,0.41000000000000003,0.6100000000000001,0.3363493554294109,-2.842233886918956
2,0.41000000000000003,0.7100000000000001,0.35632752999663353,-2.867911235822376
2,0.41000000000000003,0.81,0.33634935580194,-2.833943201763152
2,0.41000000000000003,0.91,0.3292725773528218,-2.6847927591904375
2,0.51,0.01,0.3474283590912819,-2.897296125643153
2,0.51,0.11,0.34742835722863674,-2.903589832309973
2,0.51,0.21000000000000002,0.3363493587821722,-2.826569555699577
2,0.51,0.31000000000000005,0.34742835722863674,-2.903589832309973
2,0.51,0.41000000000000003,0.34742835722863674,-2.9156677419119115
2,0.51,0.51,0.33634935580194,-2.833943201763152
2,0.51,0.6100000000000001,0.33634935580194,-2.83372124155603
2,0.51,0.7100000000000001,0.647631685435772,-5.63751279248118
2,0.51,0.81,0.3315435496158898,-2.816469217574699
2,0.51,0.91,0.336960344389081,-2.816148084851031
2,0.6100000000000001,0.01,0.3616742037236691,-2.941215807049544
2,0.6100000000000001,0.11,0.3538629626855254,-2.885217719450507
2,0.6100000000000001,0.21000000000000002,0.33634935282170775,-2.808885862719742
2,0.6100000000000001,0.31000000000000005,0.33634935580194,-2.803280079341583
2,0.6100000000000001,0.41000000000000003,0.33634935580194,-2.833943201763152
2,0.6100000000000001,0.51,0.34742835722863674,-2.9156677419119115
2,0.6100000000000001,0.6100000000000001,0.34847871093079447,-2.7297516214590676
2,0.6100000000000001,0.7100000000000001,0.3514911394566298,-2.859454429754353
2,0.6100000000000001,0.81,0.33634935580194,-2.829238938224789
2,0.6100000000000001,0.91,0.3446178684011102,-2.9268663124587766
2,0.7100000000000001,0.01,0.3047832973301411,-2.703759444748102
2,0.7100000000000001,0.11,0.3507535747252405,-2.896565371994343
2,0.7100000000000001,0.21000000000000002,0.3356279329862446,-2.875951995977495
2,0.7100000000000001,0.31000000000000005,0.36234740912914276,-2.856057237141366
